,п\п,Код,"Наименование профессий рабочих, должностей служащих",Квалификация
484,21,13203,Кровельщик по стальным кровлям,2 - 5
485,22,13370,Лепщик архитектурных деталей,2 - 5
486,22.1,,Маляр строительный,2 - 6
487,23,13503,Машинист автобетонолома,5
488,24,13505,Машинист автобетононасоса,5 - 8
489,25,13507,Машинист автовышки и автогидроподъемника,4 - 7
490,26,13509,Машинист автогрейдера,5 - 8
491,27,13511,Машинист автогудронатора,5
492,28,13515,Машинист автокомпрессора,4 - 5
493,29,13532,Машинист автоямобура,5
494,30,13534,Машинист агрегата безвоздушного распыления высокого давления,4
495,31,13558,Машинист баровой установки,4 - 6
496,32,13562,Машинист бетононасосной установки,4 - 5
497,33,13564,Машинист бетоносмесителя передвижного,3 - 5
498,34,13565,Машинист бетоноукладчика,6 - 8
499,35,13569,Машинист битумоплавильной передвижной установки,6
500,36,13583,Машинист бульдозера,4 - 8
501,37,13589,Машинист бурильно-крановой самоходной машины,5 - 7
502,38,13600,Машинист вакуумной установки,5
503,39,13620,Машинист вибровдавливающего погружателя свай самоходного,5 - 6
504,40,13622,Машинист вибропогружателя бескопрового,5
505,41,13662,Машинист гидромониторно-эжекторного плавучего несамоходного снаряда,6
506,42,13668,Машинист гидросеялки самоходной,5
507,43,13681,Машинист грейдера прицепного,4 - 5
508,44,13683,Машинист грейдерэлеватора,6
509,45,13694,Машинист дизель-молота бескопрового,5
510,46,13706,Машинист дренажной машины,5
511,46.1,,Машинист заливщика швов,5
512,47,13734,Машинист землеройно-фрезерной самоходной машины,6
513,48,13736,Машинист землесосного плавучего несамоходного снаряда,5 - 7
514,49,13753,Машинист катка самоходного и полуприцепного на пневматических шинах,6
515,50,13755,Машинист катка самоходного с гладкими вальцами,4 - 6
516,51,13769,Машинист компрессора для подачи воздуха водолазам,5
517,52,13771,Машинист компрессора передвижного,4 - 7
518,53,13781,Машинист контактно-сварочной установки передвижной для сварки магистральных газонефтепродуктопроводов,6
519,54,13783,Машинист копра,5 - 7
520,55,13788,Машинист крана автомобильного,4 - 8
521,56,13817,Машинист ледорезной машины,4
522,57,13830,Машинист малярной станции передвижной,4
523,58,13832,Машинист маркировочной машины для разметки автомобильных дорог,5 - 7
524,59,13853,Машинист машины для изоляции газонефтепродуктопроводов,4 - 8
525,60,13856,Машинист машины для нанесения пленкообразующей жидкости,5
526,60.1,,Машинист машины для укладки дорожных бордюров,6
527,60.2,,Машинист машины для устройства защитных шероховатых слоев дорожных покрытий,6 - 8
528,61,13860,Машинист машины для устройства укрепительных полос,5
529,62,13862,Машинист машины для устройства швов при выполнении дорожных работ,4
530,63,13876,Машинист механизированного натяжного устройства для изготовления напряженно-армированных конструкций,5
