,п\п,Код,"Наименование профессий рабочих, должностей служащих",Квалификация
3263,40,10056,Ангобировщик санитарно-строительных изделий,5
3264,41,11131,Армировщик санитарно-строительных изделий,3 - 4
3265,42,11682,Глазуровщик изделий строительной керамики,2 - 5
3266,43,12093,Загрузчик-выгрузчик обжигательных печей,2 - 3
3267,44,12112,Загрузчик дробильно-помольного оборудования,2 - 3
3268,45,13397,Литейщик облицовочных плиток,2
3269,46,13403,Литейщик санитарно-строительных изделий на конвейере,4 - 5
3270,47,13404,Литейщик санитарно-строительных изделий на стенде,3 - 6
3271,48,14799,Наборщик керамических плиток в ковры,2 - 3
3272,49,15169,Обжигальщик изделий строительной керамики,2 - 6
3273,50,17014,Прессовщик изделий строительной керамики,2 - 4
3274,51,17731,Раскольщик блоков,3
3275,52,18290,Сборщик химаппаратуры и химоборудования,4 - 5
3276,53,18325,Сборщик этажерочных вагонеток,4
3277,54,19402,Формовщик изделий строительной керамики,2 - 6
3278,55,19643,Шлифовщик изделий строительной керамики,2 - 4
3279,56,11132,Армировщик электрокерамических изделий,1 - 5
3280,57,11311,Вакуумпрессовщик керамической массы и заготовок,2 - 5
3281,58,11507,Выбивщик изделий из гипсовых форм,1 - 2
3282,59,11686,Глазуровщик электрокерамических изделий,2 - 5
3283,60,12037,Заготовщик материалов и деталей,2 - 4
3284,61,12407,Изготовитель профильных заготовок,1 - 2
3285,62,12614,Испытатель электрокерамических изделий,3 - 5
3286,63,13374,Лепщик электрокерамических изделий,2 - 3
3287,64,13411,Литейщик электрокерамических изделий,2 - 4
3288,65,14442,Металлизатор электрокерамических изделий,3 - 4
3289,66,14458,Мешальщик керамического шликера,3
3290,67,15021,Намотчик изоляционных остовов вводов,3 - 6
3291,68,15197,Обжигальщик электрокерамических изделий,3 - 6
3292,69,16241,Оправщик электрокерамических изделий,2 - 6
3293,70,17140,Прессовщик электрокерамических изделий в резиновых формах,2 - 3
3294,71,17142,Прессовщик электрокерамических изделий из пластических масс,2 - 4
3295,72,17144,Прессовщик электрокерамических изделий из порошковых масс,2 - 4
3296,73,18318,Сборщик электрокерамических изделий,2 - 6
3297,74,18368,Сверловщик электрокерамических изделий,2 - 3
3298,75,18431,Склейщик электрокерамических изделий,3 - 5
3299,76,19452,Формовщик электрокерамических изделий,2 - 5
3300,77,19674,Шлифовщик электрокерамических изделий,2 - 5
3301,78,11684,Глазуровщик фарфоровых и фаянсовых изделий,1 - 4
3302,79,11947,Живописец,2 - 6
3303,80,12498,Изготовитель штампов,5
3304,81,12886,Комплектовщик фарфоровых и фаянсовых изделий,4 - 5
3305,82,15195,Обжигальщик фарфоровых и фаянсовых изделий,4 - 5
3306,83,16298,Отводчик,2 - 4
3307,84,16385,Отливщик фарфоровых и фаянсовых изделий,2 - 5
3308,85,16484,Переводчик рисунков,2 - 3
3309,86,17276,Приемщик-раздатчик золотосодержащих препаратов,3
3310,87,17505,Пудровщик,1
3311,88,17705,Раклист,4
3312,89,17891,Резчик декалькоманий,1 - 2
3313,90,18284,Сборщик фарфоровых и фаянсовых изделий,3 - 4
3314,91,19198,Травильщик фарфоровых и фаянсовых изделий,3
3315,92,19211,Трамбовщик огнеприпасов из карборунда,3 - 4
3316,93,19442,Формовщик фарфоровых и фаянсовых изделий,1 - 5
3317,94,19465,Фотокерамик,4 - 5
3318,95,19672,Шлифовщик фарфоровых и фаянсовых изделий,2 - 4
3319,1,10726,Аппаратчик приготовления тресты,3 - 4
3320,2,12042,Заготовщик мягкой тары,1 - 2
3321,3,12129,Загрузчик сырья,2 - 4
3322,4,12976,Контролер кип,2
3323,5,13952,Машинист отжимно-промывного оборудования,2 - 4
3324,6,13958,Машинист очистительного оборудования,2 - 4
3325,7,14996,Наладчик технологического оборудования,4 - 6
3326,8,15574,Оператор джинного оборудования,4 - 5
3327,9,15685,Оператор линтерного оборудования,4 - 5
3328,10,15900,Оператор поточной линии по выработке волокна,3 - 6
3329,11,16061,Оператор сушильного оборудования,3 - 5
3330,12,17115,Прессовщик сырья и волокна,2 - 6
3331,13,17229,Приготовитель тресты,3 - 4
3332,14,17481,Протравщик хлопковых семян,2 - 4
3333,15,17725,Раскладчик сырья,2 - 3
3334,16,17856,Регулировщик подачи воды,3
3335,17,18375,Связывальщик пачек волокна,2
3336,18,18612,Смольщик пакли,4
3337,19,18685,Сортировщик сырья и волокна,2 - 5
3338,20,18753,Сплавщик отходов,1
3339,21,18954,Сушильщик лубяного сырья,1 - 2
3340,22,19015,Съемщик волокна,3
3341,23,19245,Туннелепрокладчик в бунтах хлопка-сырца,4
3342,24,19291,Укладчик сырья,"2, 4"
